Date,Number,Volume,Value,Average Price,Owner Change
1399-06-1,2048,22908135,146347937040,6388.47,596000
1399-05-29,1526,34588239,228503532930,6606.39,1000000
1399-05-28,5885,75598030,524676348370,6940.34,11386968
1399-05-27,5830,86065514,580473365780,6744.55,15091460
1399-05-26,2149,20940378,147262298260,7032.46,348305
1399-05-25,2648,23989489,176904448570,7374.25,-152052
1399-05-22,5488,109323598,840841319310,7691.31,14130554
1399-05-21,1975,13383948,103324078560,7720.0,-260000
1399-05-20,4764,49166281,399020869440,8115.74,411041
1399-05-19,11347,149383448,1266999126110,8481.52,-1071999
1399-05-15,7528,111216830,981139611780,8821.86,477819
1399-05-14,8739,130680420,1166250770330,8924.45,-7804153
1399-05-13,5814,63422389,594217032570,9369.2,2018959
1399-05-12,8029,71616409,704151397430,9832.26,-27369
1399-05-11,2424,23387298,222647076960,9520.0,-205
1399-05-8,6797,110508952,1001931617440,9066.52,4338524
1399-05-7,8141,122519272,1063761146690,8682.4,5862780
1399-05-6,10570,133779394,1108713992210,8287.63,-608791
1399-05-5,12229,116456927,997929638680,8569.09,5210060
1399-05-4,13633,181996430,1591743079190,8746.01,45893317
1399-05-1,7765,116733893,979312191060,8389.27,5639505
1399-04-31,11831,132752416,1164402199550,8771.23,126591
1399-04-30,13978,174747018,1602380365660,9169.72,2661599
1399-04-29,18080,250520826,2225181641280,8882.22,1109616
1399-04-28,16987,308119588,2761373598070,8962.02,26905842
1399-04-25,2358,12245883,111559994130,9110.0,1378000
1399-04-24,2368,9392934,89984307720,9580.0,-10000
1399-04-23,3783,19309372,194638469760,10080.0,-25937
1399-04-22,17082,190350841,2017712734720,10599.97,15468240
1399-04-21,1883,24001219,247990597940,10332.42,1400000
1399-04-16,10082,138276518,1346611635240,9738.54,4506166
1399-04-15,4102,78733023,730273457790,9275.31,16849920
1399-04-14,15252,270653694,2404667471450,8884.67,1332267
1399-04-11,2133,84675522,731270676430,8636.15,21690030
1399-04-10,5141,103560301,853267184000,8239.33,22924359
1399-04-9,8054,150136479,1181445080420,7869.14,1464663
1399-04-8,8891,137964589,1140166689330,8264.2,5500290
1399-04-7,6492,104819263,899417803030,8580.65,2477536
1399-04-4,6824,119440484,985431077410,8250.39,8361007
1399-04-3,7413,103599299,893231458930,8621.98,9865194
1399-04-2,3504,60346419,504823040790,8365.42,16545653
1399-04-1,8487,140991635,1126361282450,7988.85,-1323059
1399-03-31,6407,89386577,703812275800,7873.8,18110001
1399-03-27,7476,124776886,939566517020,7529.97,5550495
1399-03-26,5837,96375528,704116856720,7305.97,-3575561
1399-03-25,7034,118838944,867314020030,7298.23,4828667
1399-03-24,3636,65090770,492707453590,7569.54,5045921
1399-03-21,4824,76588366,554482206158,7239.77,1112142
1399-03-20,4367,64587237,452960797813,7013.16,-1767442
1399-03-19,6702,91333395,649194773798,7107.97,1022106
1399-03-18,3623,44595871,316438839208,7095.7,19664874
1399-03-17,2606,33762741,228335366427,6762.94,5014117
1399-03-13,5269,92819486,598311479789,6445.97,29895000
1399-03-12,3877,64339902,396830675577,6167.72,-2642714
1399-03-11,5638,101224495,635943650387,6282.51,-2661272
1399-03-10,3305,53813313,348772238040,6481.15,2853961
1399-03-7,5807,137730684,851697737324,6183.79,1475927
1399-03-6,693,5711660,36423255820,6377.0,500000
1399-03-3,1763,21164035,142053002920,6712.0,11000
1399-02-31,3303,49919309,352698704398,7065.38,4169586
1399-02-30,6731,115402867,850337434316,7368.43,1096478
1399-02-29,7430,117399706,873940800474,7444.15,3402576
1399-02-28,3412,75676160,551771224644,7291.22,2200691
1399-02-27,2444,26724558,204793247576,7663.11,-2000
1399-02-24,10190,173066782,1386249463884,8009.91,27544512
1399-02-23,11616,227416380,1817528039835,7992.07,39748660
1399-02-22,3273,49013142,396859410774,8097.0,35920510
1399-02-21,4310,81125154,625637187648,7712.0,53280000
1399-02-20,3312,67438407,495309394496,7344.62,37282500
1399-02-17,10805,178650339,1249484391212,6994.02,30844241
1399-02-16,8418,168502208,1193411833225,7082.47,28041199
1399-02-10,13439,180416353,1257725224409,6971.24,20523673
1399-02-9,11482,164766280,1123305977938,6817.57,29297531
1399-02-8,7564,155640443,1028260043376,6606.64,54014436
1399-02-7,9116,176908663,1122675762212,6346.08,1754971
1399-02-6,1290,22769072,139346720640,6120.0,2567000
1399-02-3,4085,71644106,417635389182,5829.31,16157892
1399-02-2,5394,99226558,551945411960,5562.48,17006786
1399-02-1,2899,78190188,414926986694,5306.64,9602836
1399-01-31,6522,169020369,862790416703,5104.65,13346921
1399-01-30,1770,75543511,370238747411,4901.0,63000000
1399-01-27,1892,154661868,721901268408,4667.61,114654728
1399-01-26,2428,59513285,264991337904,4452.64,807428
1399-01-25,3812,67763782,311343585589,4594.54,3369715
1399-01-24,4098,82165853,390720742205,4755.27,6601546
1399-01-23,5785,104990248,481997030421,4590.87,9389842
1399-01-20,4477,98219553,470762187738,4792.96,610812
1399-01-19,4335,76080976,369329675077,4854.43,1305304
1399-01-18,5374,104259830,501137251671,4806.62,19540630
1399-01-17,4291,93377086,454407960321,4866.38,-6211777
1399-01-16,1158,31263032,145066493127,4640.19,1392857
1399-01-11,5575,107033980,473195492618,4420.98,3692868
1399-01-10,8834,160251669,717371870533,4476.53,-12126000
1399-01-9,1381,23622003,104409253260,4420.0,3990000
1399-01-6,1843,39661333,166982024405,4210.2,5186000
1399-01-5,901,39674857,159570938388,4021.97,6950000
1398-12-28,2048,22908135,146347937040,6388.47,596000
1398-12-27,1526,34588239,228503532930,6606.39,1000000
1398-12-26,5885,75598030,524676348370,6940.34,11386968
1398-12-25,5830,86065514,580473365780,6744.55,15091460
1398-12-24,2149,20940378,147262298260,7032.46,348305
1398-12-21,2648,23989489,176904448570,7374.25,-152052
1398-12-20,5488,109323598,840841319310,7691.31,14130554
1398-12-19,1975,13383948,103324078560,7720.0,-260000
1398-12-17,4764,49166281,399020869440,8115.74,411041
1398-12-14,11347,149383448,1266999126110,8481.52,-1071999
1398-12-13,7528,111216830,981139611780,8821.86,477819
1398-12-12,8739,130680420,1166250770330,8924.45,-7804153
1398-12-11,5814,63422389,594217032570,9369.2,2018959
1398-12-10,8029,71616409,704151397430,9832.26,-27369
1398-12-7,2424,23387298,222647076960,9520.0,-205
1398-12-6,6797,110508952,1001931617440,9066.52,4338524
1398-12-5,8141,122519272,1063761146690,8682.4,5862780
1398-12-4,10570,133779394,1108713992210,8287.63,-608791
1398-12-3,12229,116456927,997929638680,8569.09,5210060
1398-11-30,13633,181996430,1591743079190,8746.01,45893317
1398-11-29,7765,116733893,979312191060,8389.27,5639505
1398-11-28,11831,132752416,1164402199550,8771.23,126591
1398-11-27,13978,174747018,1602380365660,9169.72,2661599
1398-11-26,18080,250520826,2225181641280,8882.22,1109616
1398-11-23,16987,308119588,2761373598070,8962.02,26905842
1398-11-21,2358,12245883,111559994130,9110.0,1378000
1398-11-20,2368,9392934,89984307720,9580.0,-10000
1398-11-19,3783,19309372,194638469760,10080.0,-25937
1398-11-16,17082,190350841,2017712734720,10599.97,15468240
1398-11-15,1883,24001219,247990597940,10332.42,1400000
1398-11-14,10082,138276518,1346611635240,9738.54,4506166
1398-11-13,4102,78733023,730273457790,9275.31,16849920
1398-11-12,15252,270653694,2404667471450,8884.67,1332267
1398-11-8,2133,84675522,731270676430,8636.15,21690030
1398-11-7,5141,103560301,853267184000,8239.33,22924359
